Term,Source,Definition,UF,USE,BT,NT,RT,First_Letter
Agency Head or Head of the Agency,Consultant Services Manual,"The Secretary, Attorney General, Administrator, Governor, Chairperson, or other chief official of an executive agency, unless otherwise indicated, including any deputy or assistant chief official of an executive agency.",,,,,,A
agreement,Consultant Services Manual,"(see contract) A meeting of minds with the understanding and acceptance of reciprocal legal rights and duties regarding particular actions or obligations the parties intend to exchange; a mutual assent to do or refrain from doing something; or under certain circumstances, a contract. The writing or document that records the meeting of the minds of the parties. An agreement is not always synonymous with a contract because it might lack an essential element of a contract, such as consideration. An on-call (task order) agreement is not a contract. An on-call agreement lacks both an offer and consideration. It is only after a task order document is executed for specific work and consideration that a binding contract exists. Where the term contract is meant, contract should be used. Within this manual, occasionally the terms agreement and contract will be used interchangeably.",,,,,Contract,a
agreement (contract) manager,Consultant Services Manual,"The person normally responsible for setting up any needed work orders, monitoring the progress of work and costs, and closing the contract, in accord with state and federal regulations.",,,,,,a
agreement cancellation,Consultant Services Manual,Any discontinuance of the agreement process prior to it becoming a contract.,,,,,,a
Agreement Execution Date,Utilities Manual,The signature date of the final party to sign the agreement.,,,,,,A
agreement termination,Consultant Services Manual,"Terms that specify how and when an executed agreement will expire and when the parties are no longer obligated under the agreement. This is usually triggered by an agreed-upon end date, completion of work, expenditures reaching certain funding limits, or at the discretion of one or both parties. Note that an on-call agreement can terminate without any work having been authorized, thus without the agreement leading to a contract.",,,,,,a
agreement writer,Consultant Services Manual,"The person responsible for developing the agreement language, coordinating required reviews, and providing to the parties a final agreement that is ready for execution.",,,,,,a
Air-purifying respirator (APR),Safety Manual,"A respirator equipped with an air-purifying element such as a filter, cartridge, or canister, or having a filtering facepiece, for example, a dust mask. The element or filtering facepiece is designed to remove specific contaminants, such as particles, vapors, or gases from air that passes through it",,,,,Dust Mask,A
Air Cargo,State-Managed Airport Handbook,Commercial freight (including packages and mail) transported by passenger and all-cargo airliners.,,,,,,A
Air Carrier,State-Managed Airport Handbook,A commercial airline with published schedules operating at least five round trips per week.,,,,,,A
Air Freight,State-Managed Airport Handbook,"Items principally transported by all-freight carriers and as belly freight on scheduled passenger services, including heavy-weight items as well as routine palletized shipments.",,,,,,A
Air Mail,State-Managed Airport Handbook,"Items carried as belly freight on some commercial carriers and carried as freight by freight forwards (i.e., FedEx) under contract with the U.S. Postal Service (USPS).",,,,,,A
Air Quality Analysis,Environment Manual,"An evaluation of various air pollutants at the project level based on specific project location and type. This evaluation should include discussion of construction phase emissions such as fugitive dust, odors, and asbestos if applicable. This evaluation may include discussion of other air related concerns identified in project development",,,,,,A
Air Route Traffic Control Center (ARTCC),State-Managed Airport Handbook,An FAA facility established to provide air traffic control service to aircraft operating on Instrument Flight Rules (IFR) flight plans within controlled airspace during the en route portion of flight.,,,,,,A
Air Taxi,State-Managed Airport Handbook,"An aircraft operator who conducts operations for hire or compensation in accordance with FAR Part 135 in an aircraft with 30 or fewer passenger seats and a payload capacity of 7,500 pounds or less. An air taxi operates on an on-demand basis and does not meet the 'scheduled-flight' qualifications of a commuter.",,,,,,A
Air Traffic Control (ATC),State-Managed Airport Handbook,"A service operated by the appropriate authority to promote the safe, orderly, and expeditious flow of air traffic. The ATC system includes ARTCCs, Towers, airport ground radar and other elements such as navigational aids to pilots.",,,,,,A
Air Traffic Control Tower (ATCT),State-Managed Airport Handbook,The airport traffic control facility located on an airport that is responsible for traffic separation within the immediate vicinity of the airport and on the surface of the airport.,,,,,,A
Aircraft Approach Category,State-Managed Airport Handbook,"An element of the ARC. A grouping of airplanes based on wingspan, per the following:  Category A - Speed less than 91 knots  Category B - Speed 91 knots or more, but less than 121 knots   Category C - Speed 121 knots or more, but less than 141 knots  Category D - Speed 141 knots or more, but less than 166 knots  Category E - Speed 166 knots or more",,,,,,A
Aircraft Mix,State-Managed Airport Handbook,The classification of aircraft into groups which are similar in size and operational characteristics,,,,,,A
Aircraft Operations,State-Managed Airport Handbook,Airborne movements of aircraft at an airport including aircraft landings (arrivals) at and takeoffs (departures). These operations can be further defined by the following:  Local Operations include those performed by aircraft that operate in the local traffic pattern or within sight of the airport; and/or are known to be departing for or arriving from a local practice area. Itinerant Operations are all others.,,,,,,A
Airplane Design Group (ADG),State-Managed Airport Handbook,"An element of the ARC. A grouping of airplanes based on wingspan, per the following:  Group I - Up to, but not including 49 feet  Group II - 49 feet up to, but not including, 79 feet  Group III - 79 feet up to, but not including, 118 feet  Group IV - 118 feet up to, but not including, 171 feet  Group V - 171 feet up to, but not including, 214 feet  Group IV - 214 feet up to, but not including, 262 feet",,,,,,A
Airport Elevation,State-Managed Airport Handbook,"The highest point on an airport's usable runways, expressed in feet above mean sea level (MSL)",,,,,,A
anoxic,Highway Runoff Manual,Devoid of oxygen.,,,,,,a
Airport Improvement Program (AIP),State-Managed Airport Handbook,"A congressionally mandated program through which FAA provides funding assistance for the development and enhancement of airport facilities. AIP is periodically reauthorized by Congress through appropriations from the Aviation Trust Fund, which is funded through excise taxes on airline tickets, aviation fuel, etc.",,,,,Entitlement Funds,A
Airport Layout Plan (ALP),State-Managed Airport Handbook,"A scaled drawing of existing and proposed land and facilities necessary for the operation and development of the airport. The ALP shows boundaries and proposed additions to all areas owned or controlled by the airport operator for airport purposes, the location and nature of existing and proposed airport facilities and structures, as well as the location of existing and proposed non-aviation areas and improvements on the airport",,,,,,A
Airport Master Plan,State-Managed Airport Handbook,"A standard planning document that presents a concept of the ultimate development of an airport, including the research and logic from which the plan was evolved, as well as the plan in graphic and written formats. An airport master plan is normally presented to the State or FAA for approval and would typically also be approved and adopted by the airport sponsor.",,,,,,A
Airport Reference Code (ARC),State-Managed Airport Handbook,An FAA design criteria based upon the approach speed (aircraft approach category) and wing span (airplane design group) of an aircraft which produces a minimum annual 500 operations per year at an airport,,,,,,A
Airport Reference Point (ARP),State-Managed Airport Handbook,The latitude and longitude of the approximate center of the airport.,,,,,,A
Airport Sponsor,State-Managed Airport Handbook,"A private or public agency that is authorized to own and operate an airport, to obtain property interests, to obtain funds, and to be legally, financially, and otherwise able to meet all applicable requirements of current laws and regulations.",,,,,,A
Airside,State-Managed Airport Handbook,"The portion of the airport meant for taxiing, takeoff, landing, parking, loading and unloading, or any other aircraft operation, including the aircraft parking aprons, taxiways, runways, and safety areas.",,,,,,A
Airspace,State-Managed Airport Handbook,"The area above the ground in which aircraft travel. It is divided into corridors, routes and restricted zones for the control and safety of aircraft operations.",,,,,,A
alignment,Highway Runoff Manual,Horizontal and vertical geometric elements that define the location of a roadway.,,,,,,a
All-Cargo Carrier,State-Managed Airport Handbook,"An air carrier certificated in accordance with FAR Part 121 to provide scheduled air freight, express, and mail transportation over specific routes, as well as the conduct of nonscheduled operations that may include passengers.",,,,,,A
allogenic succession,Roadside Manual,Changes in the composition of the plant community as a result of environmental forces.,,,,,,a
allowance,Cost Estimating Manual,Additional resources included in an estimate to cover the cost of known but undefined requirements for an activity or work item. Allowance is a base cost item.,,,,,,a
alluvial fan,Roadside Manual,A sloping fan-shaped mass of sediment deposited by a stream where it emerges from an upland onto a plain,,,,,,a
alteration,Design Manual: ADA/Pedestrian Supplement,"A change to a facility in the public right of way that affects or could affect access, circulation, or use. Alterations include, but are not limited to: renovation; rehabilitation; reconstruction; historic restoration; resurfacing of circulation paths or vehicular ways; or changes or rearrangement of structural parts or elements of a facility. Alterations do not include: Spot pavement repair; liquid-asphalt sealing, chip seal (bituminous surface treatment), or crack sealing; or lane restriping that does not alter the usability of the shoulder.",,,,,,a
Alternate Entry,Safety Manual,Procedures that can be used for permit-required confined spaces when the only hazard is an atmospheric hazard and certain conditions are met.,,,,,,A
Alternate Measures,Utilities Manual,"Alternatives to the relocation of nontraversable utility objects to outside the Control Zone; methods used to protect, reduce, or eliminate Location I or II Objects",Alternative Countermeasures,,,,,A
Alternate Measures,Utilities Manual,"Alternatives to the relocation of nontraversable utility objects to outside the Control Zone; methods used to protect, reduce, or eliminate Location I or II Objects",Control Zone Alternative Countermeasures,,,,,A
alternate pedestrian access route,Design Manual: ADA/Pedestrian Supplement,"A temporary accessible route to be used when the existing pedestrian access route is blocked by construction, alteration, maintenance, or other temporary condition(s).",,,,,,a
alternate pedestrian access route,Terminal Design Manual,"A temporary accessible route to be used when the existing pedestrian access route is blocked by construction, alteration, maintenance, or other temporary condition(s).",,,,,,a
Alternative Analysis Program 49 USC §5339,Summary of Public Transportation,"This program provides grants to states, authorities of the states, metropolitan planning organizations and local government authorities to develop studies as part of the transportation planning process. The grants assist in the evaluation of all reasonable modal and multimodal alternatives and general alignment options to address transportation needs in a defined travel corridor.",,,,,,A
Alternative Countermeasures,Utilities Manual,See Alternate Measures,,Alternate Measures,,,,A
alternative(s),Desgin Manual,"Possible solutions to accomplish a defined purpose and need. These include local and state transportation system mode and design options, locations, and travel demand management and transportation system management-type improvements such as ramp metering, mass transit, and high occupancy vehicle (HOV) facilities.",,,,,,a
Alternatives Comparison Table (ACT),Desgin Manual,A table that documents and presents the tradeoffs among those performance metrics identified for each alternative under consideration on a project. The ACT is used to assist in analyzing the baseline and contextual performance tradeoffs and ultimately to select an alternative. It is a supplemental document to the “Alternatives Analysis” section of the Basis of Design.,,,,,,A
Amendments (Bridge Design),Bridge Inspection Manual,"Amendments are revisions to specific sections of the Standard Specifications, which are approved and enacted during the two year period that a specific edition of the Standard Specifications is in force. Amendments are published normally three times during a calendar year – April, August, and December.",,,,,Amendments (Consultant Services),A
Amendments (Bridge Design),Summary of Public Transportation,"Amendments are revisions to specific sections of the Standard Specifications, which are approved and enacted during the two year period that a specific edition of the Standard Specifications is in force. Amendments are published normally three times during a calendar year – April, August, and December.",,,,,Amendments (Consultant Services),A
Amendments (Consultant Services),Consultant Services Manual,"A written document used to modify the contents of an existing task order document previously issued under a master on-call agreement. An amendment may be used to add new elements, make up for a deficiency, or extend or strengthen the task order.",,,,,Amendments (Bridge Design),A
Americans with Disabilities Act of 1990 (ADA),Summary of Public Transportation,"Federal civil rights law that assures persons with disabilities get equal opportunity to fully participate in society, the ability to live independently, and the ability to be economically sufficient.",,,,,,A
anadromous,Roadside Manual,"Born in fresh water, migrating to and living in salt water, and then returning to freshwater to reproduce.",,,,,anadromous fish species,a
anadromous fish species,Highway Runoff Manual,"Fish that are born and reared in freshwater, migrate to the ocean to grow to maturity, and return to freshwater to reproduce (such as salmon and steelhead).",,,,,anadromous,a
Anchorage,Safety Manual,"Means a secure point of attachment for lifelines, lanyards, or deceleration devices which is capable of withstanding the forces specified in this part.",,,,,,A
ancillary facilities,Roadside Manual,"Roadway user facilities located within the WSDOT right of way, including rest areas; roadside parks; viewpoints; historic and interpretive markers; pedestrian and bicycle facilities; wetland or stream mitigation areas; park & ride lots; transit facilities; quarries and pit sites; and maintenance facilities adjacent to the roadway. Ancillary facilities are included in the definition of roadside.",,,,,,a
ancillary services,Desgin Manual,"Those secondary services provided at safety rest areas that include, but are not limited to, vending machines, interpretive signing, telephones, recreational vehicle (RV) sanitary disposal facilities, trails, scenic viewpoints, commercial and public information displays, and visitor information centers.",,,,,,a
ancillary services,Roadside Manual,"Those secondary services provided at safety rest areas that include, but are not limited to, vending machines, interpretive signing, telephones, recreational vehicle (RV) sanitary disposal facilities, trails, scenic viewpoints, commercial and public information displays, and visitor information centers.",,,,,,a
angle of repose,Roadside Manual,The angle between the horizontal and the maximum slope that a soil assumes through natural processes,,,,,,a
Annexation,Utilities Manual,The process of expansion of a city’s boundaries to include land previously outside its jurisdiction.,,,,,,A
annual average daily traffic (AADT),Desgin Manual,The total volume of traffic passing a point or segment of a highway facility in both directions for one year divided by the number of days in the year.,,,,,,a
annual average daily traffic (AADT),Local Agency Guidelines,The total volume of traffic passing a point or segment of a highway facility in both directions for one year divided by the number of days in the year.,,,,,,a
annual daily traffic (ADT),Desgin Manual,"The volume of traffic passing a point or segment of a highway, in both directions, during a period of time, divided by the number of days in the period, and factored to represent an estimate of traffic volume for an average day of the year.",,,,,,a
Annual Element,Local Agency Guidelines,The first year of a local agency's six-year Street or Road Program which is reviewed each year by the Areawide Clearinghouse to ensure intergovernmental coordination of transportation programs.,,,,,,A
Annual Seasonal Factors,Local Agency Guidelines,"The set of 12 factors, one for each month of the year, that is used to adjust coverage counts to estimates of AADT. Annual seasonal factors make use of the full year's data collected by continuous counters",,,,,,A
Annual Service Volume (ASV),State-Managed Airport Handbook,"An FAA planning tool that reflects the ability of airfield facilities (i.e., runways, taxiways, and approach aids) to accommodate aviation demand that includes commercial, general aviation, and military operations. It accounts for differences in runway use, aircraft mix, weather conditions, etc. that would encountered over a year's time.",,,,,,A
antiseepage collar,Highway Runoff Manual,"A device constructed around a pipe or other conduit and placed through a dam, levee, or dike for the purpose of reducing seepage losses and piping failures.",,,,,,a
Apple Health (Medicaid),Summary of Public Transportation,"A federal entitlement program that pays for basic health care services for low-income individuals and long-term care for elders and people with disabilities. States administer their Medicaid programs and establish eligibility standards, benefits packages, payment rates and rules consistent with federal requirements.",Medicaid,,,,,A
application (Consultant Services),Consultant Services Manual,A completed Statement of Qualifications together with a request to be considered for the award of one or more contracts for professional services (RCW 39.80.020).,,,,,,a
application (Terminal Design),Terminal Design Manual,"Software designed to meet specific software needs and perform specific tasks, unlike system software, which runs other software.",,,,,,a
application for an access connection,Desgin Manual,An application provided by the permitting authority to be completed by the applicant for access to a managed access highway.,,,,,,a
Appraisal,Right of Way Manual,An opinion of value; the act or process of developing an opinion of value.,,,,,,A
