Definiendum,Short Definiendum,Definiens
Commission on National Parks and Protected Areas,CNPPA,"see CNPPA
"
Committee,Committee,see World Heritage Committee
Comparative assessments,Comparative assessments,"In stating that properties included in the World Heritage
        List should be carefully selected, Paragraph 9 of the
        Operational Guidelines further comments that
        ""comparative assessments for the harmonization of tentative
        lists and nominations of cultural properties"" should be
        performed (UNESCO February 1996: 4).

see Comparative evaluations, Tentative list,
Harmonization"
Comparative evaluations,Comparative evaluations,"Paragraph 12 of the Operational Guidelines refers to
        the requirement when nominating cultural properties
        belonging to ""certain well-represented categories"" to prepare
        ""a comparative evaluation of the property in relation to
        other properties of a similar type"" (UNESCO February 1996: 5).
        
        In presenting ""Guidelines for the evaluation and examination
        of nominations"" the Operational Guidelines state that
        ""ICOMOS is requested to make comparative evaluations of
        properties belonging to the same type of cultural property""
        (UNESCO February 1996: 18-19, Paragraph 61(c)).  The
        Operational Guidelines do not contain a similar
        requirement for IUCN in evaluating natural properties.

see Comparative assessments, Tentative list,
Harmonization"
Conditions of authenticity,Conditions of authenticity,see Authenticity
Conservation,Conservation,"The World Heritage Convention does not specifically
        define conservation.  Throughout the Convention
        reference is made to the ""identification, protection,
        conservation, presentation and transmission to future
        generations of the cultural and natural heritage"".  Article 5
        of the Convention makes reference to a number of
        ""effective and active measures"" that can be taken by
        States Parties in ensuring this ""identification,
        protection, conservation, presentation and transmission""
        (UNESCO 1972).
        
        The Operational Guidelines do not include a definition
        of conservation.  The Operational Guidelines
        state that one of the four essential functions of the
        World Heritage Committee is to ""monitor the state of
        conservation of properties inscribed on the World Heritage
        List"" (UNESCO February 1996: 2, Paragraph 3 (ii)). 
        Guidelines for monitoring the ""state of conservation""
        of properties inscribed in the World Heritage List
        feature prominently in the Operational Guidelines
        (UNESCO February 1996: Section II).  The term
        preservation and conservation are used
        interchangeably to refer to the ""State of
        preservation/conservation"" section of the nomination
        form (UNESCO February 1996: 20, Paragraph 64 (d)).
        
        Paragraph 24 (b) (ii) of the Operational Guidelines
        stipulates that cultural properties included in
        the World Heritage List must ""have adequate legal
        and/or contractual and/or traditional protection and
        management mechanisms to ensure the conservation of the
        nominated cultural properties or cultural landscapes"" (UNESCO
        February 1996: 7-8).
        
        The Operational Guidelines also include reference,
        without definition, to ""conservation policy"" (Paragraph 27
        (ii)), ""conservation scheme"" (Paragraph 34), ""preventive
        conservation"" (Paragraph 69) and ""day-to-day conservation""
        (Paragraph 70) (UNESCO February 1996: 8, 10 and 26).
        
        Conservation is used interchangeably with
        preservation, safeguarding and protection
        in the Operational Guidelines.
        
        The Nara Document on Authenticity defines
        conservation, specifically with reference to the
        cultural heritage, as:
        
                Conservation:  all efforts designed to understand
                cultural heritage, know its history and meaning, ensure
                its material safeguard and, as required, its
                presentation, restoration and enhancement (Larson 1995:
                xxv).
        
        The French definition of Conservation is also included
        in Larson (1995: xxxi).
        
see Preservation, Protection,
Safeguarding, State of conservation
"
Convention,Convention,"see Convention concerning the protection of the world cultural
and natural heritage"
Convention concerning the protection of the world cultural and natural heritage,Convention concerning the protection of the world cultural and natural heritage,"The Convention concerning the protection of the world
        cultural and natural heritage was adopted by the General
        Conference of UNESCO at its seventeenth session in Paris on
        16 November 1972 (UNESCO 1972).  The Convention, with
        146 signatory States Parties as of June 1996, is the
        most successful international heritage conservation
        instrument in the world.  The Convention responds to
        the increasing threats to cultural heritage and
        natural heritage caused by poverty in many countries,
        neglect, and in some countries, by unconsidered economic
        growth and development and seeks to encourage States
        Parties to identify, protect, preserve and present
        cultural heritage and natural heritage for
        future generations in a spirit of international cooperation.
        
        As the first step in the World Heritage conservation
        process, cultural properties and natural properties
        of outstanding universal value are identified
        and included on the World Heritage List.  The
        World Heritage Committee has inscribed 469 properties
        on the World Heritage List.  The Convention
        also establishes a World Heritage Fund from which
        assistance is available for the identification and
        conservation of the world's heritage.
"
Convention for the protection of the world cultural and natural heritage,Convention for the protection of the world cultural and natural heritage,"see Convention concerning the protection of the world cultural
and natural heritage"
Corrective measures,Corrective measures,"Corrective measures are referred to in Paragraphs 22,
        46, 47, 82 and 83 of the Operational Guidelines
        without specific definition (UNESCO February 1996: 6, 15
        and 30).
        
        In Paragraph 22 an ""action plan outlining corrective
        measures"" is required when a State Party nominates a
        property that meets the criteria and the
        conditions of authenticity and/or integrity but
        which is threatened by human action.  Similar reference is
        made in Paragraphs 46 and 47 (UNESCO February 1996: 6 and
        15).
        
        Paragraphs 82 and 83 of the Operational Guidelines
        refer to the development of ""a programme of corrective
        measures"" in the section on the ""Procedure for the inclusion
        of properties in the List of World Heritage in Danger""
        (UNESCO February 1996: 30)."
Criteria,Criteria,"Paragraphs 2 and 5 of Article 11 of the Convention
        refer to the definition and establishment of criteria
        on the basis of which a property belonging to the
        cultural or natural heritage may be included in
        the World Heritage List and/or the List of World
        Heritage in Danger, by the World Heritage
        Committee (UNESCO 1972).
        
        In accordance with Article 11 of the Convention, the
        World Heritage Committee have established
        criteria for the inclusion of cultural properties
        and natural properties in the World Heritage
        List.  The cultural heritage criteria with the
        associated test of authenticity and requirements
        concerning protection and management mechanisms are
        included in Paragraph 24 of the Operational Guidelines
        (UNESCO February 1996: 7-8).  The natural heritage
        criteria with the associated conditions of integrity
        are included in Paragraph 43 of the Operational
        Guidelines (UNESCO February 1996: 12-15).
        
        In accordance with Article 11 of the Convention the
        World Heritage Committee have established criteria
        for the inclusion of cultural properties and
        natural properties in the List of World Heritage in
        Danger.  The criteria for the inclusion of
        cultural properties in the List of World Heritage
        in Danger are included in Paragraph 78 of the
        Operational Guidelines (UNESCO February 1996: 28). 
        The criteria for the inclusion of natural
        properties in the List of World Heritage in Danger
        are included in Paragraph 79 of the Operational
        Guidelines (UNESCO February 1996: 28-29).

see Cultural heritage criteria, Natural heritage
criteria, List of World Heritage in Danger, World
Heritage List"
Criterion,Criterion,"The singular for criteria.

see Criteria"
Cultural heritage,Cultural heritage,"Cultural heritage is defined in Article 1 of the
        Convention as shown below:

                Article 1
                         
                For the purpose of this Convention, the following
                shall be considered as ""cultural heritage"":
                         
                monuments: architectural works, works of monumental
                sculpture and painting, elements or structures of
                an archaeological nature, inscriptions, cave
                dwellings and combinations of features, which are
                of outstanding universal value from the point of
                view of history, art or science;
                groups of buildings: groups of separate or
                connected buildings which, because of their
                architecture, their homogeneity or their place in
                the landscape, are of outstanding universal value
                from the point of view of history, art or science;
                sites: works of man or the combined works of nature
                and man, and areas including archaeological sites
                which are of outstanding universal value from the
                historical, aesthetic, ethnological or
                anthropological point of view (UNESCO 1972)."
Cultural heritage criteria,Cultural heritage criteria,"A cultural property may be inscribed in the
        World Heritage List if it meets one or more of the
        cultural heritage criteria, the test of
        authenticity and requirements concerning protection
        and management mechanisms presented in Paragraph 24 of
        the Operational Guidelines (UNESCO February 1996: 7-
        8).
        
see Criteria, Natural heritage criteria,
Protection and management mechanisms, Test of
authenticity, Integrity"
Cultural landscapes,Cultural landscapes,"At its sixteenth session in December 1992 the World
        Heritage Committee adopted three main categories of
        cultural landscapes (UNESCO 14 December 1992: 54-55)
        and included guidelines concerning their inclusion in the
        World Heritage List in the Operational
        Guidelines (UNESCO February 1996: 10-12, Paragraphs 35 to
        42).
        Paragraphs 36 to 38 of the Operational Guidelines
        provide some definition of cultural landscapes.
        
                36.  Cultural landscapes represent the ""combined
                works of nature and of man"" designated in Article 1 of
                the Convention.  They are illustrative of the evolution
                of human society and settlement over time, under the
                influence of the physical constraints and/or
                opportunities presented by their natural environment and
                of successive social, economic and cultural forces, both
                external and internal.  They should be selected on the
                basis both of their outstanding universal value and of
                their representativity in terms of a clearly defined
                geo-cultural region and also for their capacity to
                illustrate the essential and distinct cultural elements
                of such regions.
                
                37.  The term ""cultural landscape"" embraces a
                diversity of manifestations of the interaction between
                humankind and its natural environment.
                
                38.  Cultural landscapes often reflect
                specific techniques of sustainable land-use, considering
                the characteristics and limits of the natural
                environment they are established in, and a specific
                spiritual relation to nature.  Protection of cultural
                landscapes can contribute to modern techniques of
                sustainable land-use and can maintain or enhance natural
                values in the landscape.  The continued existence of
                traditional forms of land-use supports biological
                diversity in many regions of the world.  The protection
                of traditional cultural landscapes is therefore helpful
                in maintaining biological diversity (UNESCO February
                1996: 10-11).
                
        Paragraph 39 of the Operational Guidelines refers to
        cultural landscapes as falling into three main
        categories - the clearly defined landscape, the
        organically evolved landscape (including relict (or
        fossil) landscapes and continuing landscapes) and
        associative cultural landscapes (UNESCO February 1996:
        11).
        
        Paragraphs 40 to 42 of the Operational Guidelines
        provide some further guidance concerning the inclusion of
        cultural landscapes in the World Heritage List
        (UNESCO February 1996: 11-12).

        Since 1992 several regional and thematic meetings on the
        subject of cultural landscapes of outstanding
        universal value have been held (see for example, von
        Droste et al 1995, von Droste et al 1995:
        Annexes II to VI and UNESCO 21 April 1996).

see Associative cultural landscape, Canal,
Clearly defined landscape, Continuing landscape,
Heritage route, Organically evolved landscape,
Relict (or fossil) landscape"
Cultural property,Cultural property,"Properties inscribed in the World Heritage List after
        having met at least one of the cultural heritage criteria
        and the test of authenticity are referred to as
        cultural properties.

see Cultural heritage, Mixed property, Natural
property, Property"
Data sheets,Data sheets,"Standardised data sheets for each natural property
        nomination are prepared by IUCN using the
        information held by the Protected Area Data Unit of the
        World Conservation Monitoring Centre (WCMC). 
        These data sheets are used as the basis for
        monitoring natural properties (IUCN 1995: 3)."
Deferral,Deferral,see Deferred
Deferred,Deferred,"When the Bureau and Committee examine
        nominations of properties for inclusion in the
        World Heritage List they classify their decisions into
        those they choose to inscribe, those they decide not to
        inscribe, those referred back to States Parties for
        further information, and those whose consideration is
        deferred (UNESCO February 1996: 23-25, Paragraph 65).
        
        The inscription of a property in the World
        Heritage List is deferred when the
        Committee awaits ""evidence of the full commitment of
        the nominating government"" to protect the property
        (UNESCO February 1996: 3, Paragraph 6 (v)).
        
        Paragraph 32 of the Operational Guidelines recommends
        that examination of nominations of ""new towns of the
        twentieth century"" should be deferred pending the
        passage of time (UNESCO February 1996: 10).
        
        The Bureau and Committee may defer the
        examination of a property for inclusion in the
        World Heritage List pending the completion of an ""in-
        depth assessment or study"" (UNESCO February 1996: 24,
        Paragraph 65 June/July (d))."
Deletion,Deletion,"Deletion of a property from the World
        Heritage List refers to the same process as
        delisting.
        
        A property may be deleted or removed from the
        List of World Heritage in Danger when that
        property is no longer under threat (UNESCO February
        1996: 31, Paragraph 89).
        
        A property may be deleted from both the List
        of World Heritage in Danger and the World Heritage
        List if the property has deteriorated to the
        extent that it has lost those characteristics which
        determined its inclusion in the World Heritage List
        (UNESCO February 1996: 31, Paragraph 89).
        
        The Operational Guidelines outline a procedure
        concerning the possible deletion of a property from
        the World Heritage List in Paragraphs 46 to 54 (UNESCO
        February 1996: 15-17).

see Delisting
"
Delisting,Delisting,"Delisting a property from the World Heritage
        List refers to the same process as deletion.
        
        Paragraph 22 of the Operational Guidelines comments
        that the Committee will consider delisting a
        property when the corrective measures agreed to
        by the State Party nominating a property for
        inclusion in the World Heritage List are not submitted
        ""within the time proposed by the State"" (UNESCO February
        1996: 6).

see Deletion"
Designed landscape,Designed landscape,see Clearly defined landscape
Emblem,Emblem,see World Heritage emblem
Emergency assistance,Emergency assistance,"Emergency assistance is one of the types of
        international assistance available under the
        provisions of the World Heritage Fund.
        
        States Parties may request emergency assistance
        ""for work in connection with cultural and natural
        properties included or suitable for inclusion in the World
        Heritage List and which have suffered severe damage due to
        sudden, unexpected phenomena"" (UNESCO February 1996: 32,
        Paragraph 92).
        
        Requests for emergency assistance should be submitted
        to the UNESCO World Heritage Centre on form WHC/5
        (UNESCO 1990d).

see International assistance, World Heritage Fund"
Evaluation,Evaluation,"Section F of the Operational Guidelines establishes
        ""Guidelines for the evaluation and examination of
        nominations"" (UNESCO February 1996: 18-19).  At the beginning
        of Section F, Paragraph 57 states that:
        
                The evaluation of whether or not individual sites
                nominated by States Parties satisfy the criteria and the
                conditions of authenticity/integrity will be carried out
                by the International Council on Monuments and Sites
                (ICOMOS) for cultural properties and by the World
                Conservation Union (IUCN) for natural properties.  In
                the case of nominations of cultural properties in the
                category of 'cultural landscapes', as appropriate, the
                evaluation will be carried out in consultation with the
                World Conservation Union (IUCN) (UNESCO February 1996:
                18).
        
        Paragraphs 57 to 63 of the Operational Guidelines
        provide further guidance as to the preparation of
        technical evaluations by ICOMOS and IUCN
        (UNESCO February 1996: 18-19).
        
        Section H of the Operational Guidelines in outlining
        the ""Procedure and timetable for the processing of
        nominations"", refers to the timing of the preparation of
        evaluations by IUCN and ICOMOS and to
        their examination by the World Heritage Committee and
        its Bureau (UNESCO February 1996: 23-25).

see also Comparative evaluation, ICOMOS evaluation, IUCN
evaluation, Timetable
"
Fossil landscape,Fossil landscape,see Relict (or fossil) landscape
Fund,Fund,see World Heritage Fund
Fund for the Protection of the World Cultural and Natural Heritage,Fund for the Protection of the World Cultural and Natural Heritage,see World Heritage Fund
Geological and physiographical formations,Geological and physiographical formations,"Geological and physiographical formations are
        referred to as part of the definition of natural
        heritage in Article 2 of the Convention (UNESCO
        1972).

see Natural heritage
"
General Assembly of States Parties to the Convention,General Assembly of States Parties to the Convention,"The General Assembly of States Parties to the
        Convention meets during the General Conference of
        UNESCO, that is, every two years."
Global Strategy for the Implementation of the World Heritage Convention,Global Strategy for the Implementation of the World Heritage Convention,see Global Strategy
Global Strategy,Global Strategy,"The Global Strategy is a conceptual framework devised
        to ensure the representativeness and credibility of the
        World Heritage List.  The Global Strategy was
        adopted by the World Heritage Committee at its
        eighteenth session in 1994 (UNESCO 13 October 1994). 
        
        The Global Strategy was originally devised with
        particular reference to cultural heritage.  In March
        1996 a group of experts meeting in the Parc National de la
        Vanoise, France, affirmed the application of the Global
        Strategy for natural heritage (UNESCO 15 April
        1996). The World Heritage Bureau and Committee will consider
        the substance of the report of the group of experts at their
        twentieth sessions in 1996.

        The regional and thematic meetings held on the subject of
        cultural landscapes of outstanding universal value
        (see for example, von Droste et al 1995, von
        Droste et al 1995: Annexes 11 to VI and UNESCO 21
        April 1996) and meetings on authenticity (Larson and
        Marstein 1994, Larson 1995 and Inter-American Symposium on
        Authenticity, March 1996) are all important contributions to
        the aims of the Global Strategy.

        The first subregional meeting on the Global Strategy was held
        in Harare, Zimbabwe from 11 to 13 October 1995 (UNESCO 31
        January 1996: 53-54).
"
Groups of buildings,Groups of buildings,"Groups of buildings are referred to as part of the
        definition of cultural heritage in Article 1 of the
        Convention (UNESCO 1972).
        
see Cultural heritage"
Groups of urban buildings,Groups of urban buildings,"The World Heritage Committee has adopted guidelines
        concerning the inclusion of groups of urban
        buildings in the World Heritage List (UNESCO
        February 1996: 8-10, Paragraphs 26-34).
        
        Paragraph 27 of the Operational Guidelines refers to
        groups of urban buildings as falling into three main
        categories - the towns which are no longer inhabited but
        which provide unchanged archaeological evidence of the past,
        historic towns which are still inhabited (inhabited
        historic towns) and new towns of the twentieth century
        (UNESCO February 1996: 8).
        
        Groups of urban buildings are not specifically referred
        to in the Convention.

see Inhabited historic towns
"
Guidelines,Guidelines,"see Operational Guidelines for the Implementation of the World
Heritage Convention"
Harmonization,Harmonization,"To ensure the careful selection of properties for
        inclusion in the World Heritage List the Committee
        has recommended the harmonization of tentative
        lists and of cultural properties for geo-cultural
        regions or areas (UNESCO February 1996: 4 and 31, Paragraph 9
        and Paragraph 90).
        
        Harmonization is not mentioned in the Operational
        Guidelines with reference to natural properties or
        their inclusion on tentative lists.
        
        Harmonization is not referred to in the
        Convention."
Heritage route,Heritage route,"In November 1994 a meeting on ""Routes as Part of Our Cultural
        Heritage"" was held in Madrid, Spain.  The expert meeting
        defined a heritage route as:

                ... composed of tangible elements of which the cultural
                significance comes from exchanges and a multi-
                dimensional dialogue across countries or regions, and
                that illustrate the interaction of movement, along the
                route, in space and time (von Droste et al 1995:
                437, Annex IV).

see Cultural landscape
"
Historic towns,Historic towns,"see Groups of urban buildings, Inhabited historic
towns"
International Centre for the Study of the Preservation and Restoration of Cultural Property (Rome Centre,ICCROM,"ICCROM was created by UNESCO in 1956. 
        ICCROM was formerly known as the Rome Centre. 
        In 1977 the name was changed to ICCROM (the initials of the
        International Centre for Conservation, and given that the
        Centre is located in Rome, ROM, ICC+ROM=ICCROM).

        Article 8 (3) of the Convention requires that a
        representative of the Rome Centre (ICCROM)
        attend meetings of the Committee in an advisory
        capacity (UNESCO 1972).
        
        ICCROM is an intergovernmental body which provides
        expert advice on how to conserve properties inscribed in the
        World Heritage List, as well as training in
        conservation techniques.  ICCROM is an active partner
        in the World Heritage Information Network (WHIN).

see World Heritage Information Network (WHIN)
"
International Council of Monuments and Sites,ICOMOS,"Article 8 (3) of the Convention requires that a
        representative of ICOMOS attend meetings of the
        Committee in an advisory capacity (UNESCO 1972).

        ICOMOS provides evaluations on cultural properties
        nominated for inscription in the World Heritage
        List.  ICOMOS is an international, non-
        governmental organization, founded in 1965, with an
        international secretariat in Paris, France.  ICOMOS is
        one of the main participants in the World Heritage
        Information Network (WHIN).

see World Heritage Information Network (WHIN)"
ICOMOS evaluation,ICOMOS evaluation,"The evaluation procedures used by ICOMOS for
        cultural property nominations are set out in the
        ICOMOS volume on ""Evaluation of Cultural Properties""
        presented by ICOMOS to the World Heritage Bureau
        and Committee each year (see for example ICOMOS
        1996).

see Evaluation and IUCN Evaluation"
Identification,Identification,"The World Heritage Convention does not specifically
        define identification.  Throughout the Convention
        reference is made to the ""identification, protection,
        conservation, presentation and transmission to future
        generations of the cultural and natural heritage"".  Article 5
        of the Convention makes reference to a number of
        ""effective and active measures"" that can be taken by
        States Parties in ensuring this ""identification,
        protection, conservation, presentation and transmission""
        (UNESCO 1972).
        
        Within the Operational Guidelines the
        identification of properties for potential
        inclusion in the World Heritage List is
        referred to as the first step in the process of World
        Heritage conservation (UNESCO February 1996: 1, 17 and
        32, Paragraphs 2, 54 and 94).
        
        An identification section is included as part of the
        nomination form (UNESCO February 1996: 20, Paragraph
        64 (c) and UNESCO 1995)."
Identification number,Identification number,"The identification number, abbreviated to ID
        No, is an accession number given to each property
        for which a completed nomination form is received
        in the World Heritage Centre."
ID No,ID No,see Identification number
Implementation,Implementation,"Implementation refers to the act of putting the
        Convention into practice."
Immovable property,Immovable property,"Immovable property is property that cannot
        easily be moved.  The opposite of immovable property
        is movable property.  As the Convention
        does not consider nominations of immovable
        property ""which are likely to become movable"" (UNESCO
        February 1996: 8, Paragraph 25).

see Movable property"
Indicative list,Indicative list,"The term indicative list is sometimes used to refer to
        the inventory of property mentioned in Article 11(1)
        of the Convention.  In the French language version of
        the Operational Guidelines, the ""Orientations devant
        guider las mise en oeuvre de al Convention du patrimoine
        mondial"", ""une liste indicative"" is used to refer to this
        inventory of property. Despite this the English
        language version of the Operational Guidelines refers
        to tentative list and not to indicative list.

see Inventory of property, Tentative list"
Information sources,Information sources,"The Nara Document on Authenticity defines
        information sources as:
        
                Information sources:  all material, written, oral
                and figurative sources which make it possible to know
                the nature, specifications, meaning and history of the
                cultural heritage (Larson 1995: xxv).
        
        The French definition of Sources d'information is also
        included in Larson (1995: xxxi)."
