| Term                                                                                                     |   Uses |
| United Nations Educational, Scientific and Cultural Organization                                         |      8 |
| Clearly defined landscape                                                                                |      8 |
| Cultural heritage                                                                                        |      8 |
| Indicative list                                                                                          |      8 |
| Organization of World Heritage Cities                                                                    |      8 |
| Management                                                                                               |      8 |
| World Heritage Bureau                                                                                    |      7 |
| Sites                                                                                                    |      7 |
| Natural property                                                                                         |      7 |
| Centre                                                                                                   |      6 |
| Safeguarding                                                                                             |      6 |
| Immovable property                                                                                       |      6 |
| Natural sites                                                                                            |      6 |
| Referral                                                                                                 |      5 |
| Rome Centre                                                                                              |      5 |
| Geological and physiographical formations                                                                |      5 |
| Natural features                                                                                         |      5 |
| Precisely delineated [natural] areas                                                                     |      5 |
| Technical evaluations                                                                                    |      5 |
| Timetable                                                                                                |      5 |
| Assistance                                                                                               |      4 |
| Information sources                                                                                      |      4 |
| Authorization form                                                                                       |      4 |
| Canal                                                                                                    |      4 |
| Convention                                                                                               |      4 |
| Convention for the protection of the world cultural and natural heritage                                 |      4 |
| Groups of buildings                                                                                      |      4 |
| Guidelines                                                                                               |      4 |
| Monuments                                                                                                |      4 |
| Operational Guidelines                                                                                   |      4 |
| World Heritage Convention                                                                                |      4 |
| Inscription                                                                                              |      4 |
| List                                                                                                     |      4 |
| World Heritage Education                                                                                 |      4 |
| see World Heritage Youth Forum/Fora                                                                      |      4 |
| World Heritage Youth Project                                                                             |      4 |
| Youth Forum                                                                                              |      4 |
| Youth Project                                                                                            |      4 |
| Bureau                                                                                                   |      3 |
| Committee                                                                                                |      3 |
| Intergovernmental Committee for the Protection of the World Cultural and Natural Heritage                |      3 |
| International Union for the Conservation of Nature and Natural Resources                                 |      3 |
| World Conservation Union                                                                                 |      3 |
| General Assembly of States Parties to the Convention                                                     |      3 |
| States Parties                                                                                           |      3 |
| Emblem                                                                                                   |      3 |
| World Heritage logo                                                                                      |      3 |
| Fund                                                                                                     |      3 |
| Fund for the Protection of the World Cultural and Natural Heritage                                       |      3 |
| Serial nomination                                                                                        |      3 |
| Serial site                                                                                              |      3 |
| Commission on National Parks and Protected Areas                                                         |      2 |
| Implementation                                                                                           |      2 |
| Historic towns                                                                                           |      2 |
| Towns                                                                                                    |      2 |
| Heritage route                                                                                           |      2 |
| ID No                                                                                                    |      2 |
| Natural                                                                                                  |      2 |
| OWHC                                                                                                     |      2 |
| Reporting                                                                                                |      2 |
| Conditions of authenticity                                                                               |      1 |
| Nara Conference on Authenticity in Relation to the World Heritage Convention                             |      1 |
| Nara Document on Authenticity                                                                            |      1 |
| Test of authenticity                                                                                     |      1 |
| Designed landscape                                                                                       |      1 |
| Criterion                                                                                                |      1 |
| Deferral                                                                                                 |      1 |
| Global Strategy for the Implementation of the World Heritage Convention                                  |      1 |
| Itineraries                                                                                              |      1 |
| Routes                                                                                                   |      1 |
| International Centre for the Study of the Preservation and Restoration of Cultural Property              |      1 |
| World Heritage value                                                                                     |      1 |
| UNESCO World Heritage Centre                                                                             |      1 |
| World Heritage Centre                                                                                    |      1 |
| UNESCO                                                                                                   |      0 |
